Rank,Population Density (per sq mi),County,Population
1,6221.3,Suffolk,747928
2,1817.9,Middlesex,1539832
3,1536.8,Norfolk,682860
4,914.2,Essex,757395
5,797.2,Bristol,551065
6,735.4,Hampden,466447
7,510.9,Worcester,806804
8,458.1,Plymouth,500772
9,294.1,Hampshire,160328
10,164.8,Barnstable,215167
11,137.4,Berkshire,130064
12,98.4,Franklin,71300
13,34.5,Dukes,16915
14,34.3,Nantucket,10414
