Rank,Population Density (per sq mi),County,Population
1,427.9,Maricopa, AZ,3947382
2,108.1,Pima, AZ,993144
3,72.6,Pinal, AZ,390160
4,38.2,Santa Cruz, AZ,47250
5,36.5,Yuma, AZ,201453
6,26.3,Yavapai, AZ,213689
7,21.0,Cochise, AZ,130807
8,15.0,Mohave, AZ,202482
9,11.1,Gila, AZ,53242
10,10.8,Navajo, AZ,107489
11,8.0,Graham, AZ,37311
12,7.3,Coconino, AZ,135817
13,6.4,Apache, AZ,72142
14,4.8,Greenlee, AZ,8800
15,4.5,La Paz, AZ,20348
