Rank,Population Density (per sq mi),County,State,Population
1,1444.4,Providence,RI,629,280
2,1102.5,Bristol,RI,49,338
3,878.4,Kent,RI,165,253
4,263.9,Newport,RI,82,772
5,225.0,Washington,RI,126,609
