Rank,Population Density (per sq mi),County,Population
1,451.4,Hillsborough,402776
2,374.4,Rockingham,297702
3,323.9,Strafford,124387
4,153.6,Merrimack,146880
5,128.6,Belknap,60252
6,105.1,Cheshire,76596
7,78.4,Sullivan,43291
8,51.1,Grafton,89360
9,48.0,Carroll,47623
10,17.6,Coos,32202
