Rank,Population Density (per sq mi),County,Population
1,347.4,Carson City,54634
2,248.6,Clark,2003613
3,65.7,Washoe,429985
4,63.9,Douglas,47135
5,25.5,Lyon,51579
6,14.9,Storey,3934
7,4.8,Churchill,24347
8,3.0,Elko,50991
9,2.4,Nye,42938
10,1.8,Humboldt,17003
11,1.2,Mineral,4627
12,1.1,White Pine,10043
13,1.1,Pershing,6741
14,1.1,Lander,5930
15,0.5,Lincoln,5282
16,0.4,Eureka,1761
17,0.3,Esmeralda,1041
