Rank,Population Density (per sq mi),County,State,Population
155,13.6,Lamb,TX,13,875
156,13.6,Wilbarger,TX,13,265
157,13.5,Zapata,TX,14,231
158,13.2,Ward,TX,11,011
159,12.9,Deaf Smith,TX,19,331
160,12.3,Gaines,TX,18,496
161,12.0,Red River,TX,12,642
162,11.5,Ochiltree,TX,10,546
163,11.4,Parmer,TX,10,124
164,10.9,Live Oak,TX,11,738
165,10.7,Andrews,TX,16,126
166,10.3,Stephens,TX,9,485
167,10.1,Mitchell,TX,9,236
168,10.1,Yoakum,TX,8,054
169,10.0,Hamilton,TX,8,330
170,9.9,Childress,TX,7,066
171,9.9,Runnels,TX,10,441
172,9.7,Jack,TX,8,967
173,9.6,Archer,TX,8,853
174,9.4,Clay,TX,10,547
175,9.2,Zavala,TX,12,013
176,8.9,Castro,TX,8,026
177,8.9,Refugio,TX,7,295
178,8.8,Winkler,TX,7,404
179,8.6,Swisher,TX,7,789
180,8.6,Goliad,TX,7,357
181,8.6,Bailey,TX,7,084
182,7.9,Dimmit,TX,10,537
183,7.7,Mcculloch,TX,8,245
184,7.6,Brooks,TX,7,200
185,7.1,Garza,TX,6,337
186,6.8,Coleman,TX,8,656
187,6.7,Crosby,TX,6,025
188,6.6,Carson,TX,6,108
189,6.5,Mills,TX,4,881
190,6.5,Lynn,TX,5,806
191,6.5,Duval,TX,11,644
192,6.5,Haskell,TX,5,875
193,6.3,Floyd,TX,6,263
194,6.1,Wheeler,TX,5,587
195,6.0,Hansford,TX,5,540
196,5.9,Crane,TX,4,602
197,5.8,Hardeman,TX,4,050
198,5.6,Martin,TX,5,096
199,5.3,Reeves,TX,13,978
200,5.2,San Saba,TX,5,901
201,4.8,Real,TX,3,365
202,4.7,La Salle,TX,7,075
203,4.6,Jim Hogg,TX,5,266
204,4.6,Dallam,TX,6,957
205,4.4,Hemphill,TX,4,032
206,4.4,Knox,TX,3,776
207,4.4,Mason,TX,4,061
208,4.3,Fisher,TX,3,882
209,4.2,Hartley,TX,6,091
210,4.1,Concho,TX,4,091
211,4.0,Baylor,TX,3,648
212,3.9,Cochran,TX,3,031
213,3.9,Donley,TX,3,636
214,3.7,Shackelford,TX,3,359
215,3.7,Lipscomb,TX,3,418
216,3.6,Hall,TX,3,270
217,3.6,Kimble,TX,4,522
218,3.5,Coke,TX,3,260
219,3.3,Collingsworth,TX,3,053
220,3.3,Sherman,TX,3,060
221,3.3,Pecos,TX,15,677
222,3.0,Reagan,TX,3,520
223,2.7,Sutton,TX,3,995
224,2.7,Upton,TX,3,339
225,2.6,Kinney,TX,3,598
226,2.6,Dickens,TX,2,339
227,2.5,Schleicher,TX,3,281
228,2.4,Menard,TX,2,193
229,2.1,Armstrong,TX,1,947
230,1.9,Presidio,TX,7,479
231,1.8,Briscoe,TX,1,601
232,1.8,Cottle,TX,1,596
233,1.7,Throckmorton,TX,1,584
234,1.6,Foard,TX,1,159
235,1.5,Irion,TX,1,626
236,1.5,Stonewall,TX,1,409
237,1.5,Brewster,TX,9,270
238,1.5,Sterling,TX,1,360
239,1.4,Crockett,TX,3,871
240,1.4,Oldham,TX,2,068
241,1.3,Glasscock,TX,1,190
242,1.2,Motley,TX,1,172
243,1.0,Jeff Davis,TX,2,282
244,1.0,Roberts,TX,924
245,1.0,Edwards,TX,2,037
246,1.0,Kent,TX,858
247,0.7,Borden,TX,676
248,0.7,Hudspeth,TX,3,344
249,0.6,Culberson,TX,2,325
250,0.6,Mcmullen,TX,646
251,0.3,Terrell,TX,809
252,0.3,King,TX,290
253,0.3,Kenedy,TX,528
254,0.1,Loving,TX,89
